ProbeSize,ProbeCurrent
0,0
1.12,406.63
1.43,376.25
2.24,598.22
2.36,596.61
3.78,725.97
3.87,712.25
4.44,707.7
5.39,721.7
5.49,759.08
5.52,741.72
5.72,729.33
5.78,717.22
6.29,722.82
6.36,677.25
7.03,746.34
7.17,710.22
7.34,739.97
9.28,796.11
9.65,812.84
