Standard Order,Actual Order,Ball Type,Drop Height (m),Release Angle (rad),Replication,Bounce Height (m)
1,18,Golf,1,0,1,33
2,24,Tennis,1,0,1,61
3,1,Golf,1.5,0,1,55
4,16,Tennis,1.5,0,1,72
5,7,Golf,1,1.570796327,1,31
6,17,Tennis,1,1.570796327,1,64
7,13,Golf,1.5,1.570796327,1,54
8,9,Tennis,1.5,1.570796327,1,77
9,10,Golf,1,0,2,36
10,8,Tennis,1,0,2,59
11,21,Golf,1.5,0,2,56
12,23,Tennis,1.5,0,2,72
13,5,Golf,1,1.570796327,2,32
14,4,Tennis,1,1.570796327,2,67
15,15,Golf,1.5,1.570796327,2,59
16,19,Tennis,1.5,1.570796327,2,74
17,6,Golf,1,0,3,31
18,3,Tennis,1,0,3,61
19,12,Golf,1.5,0,3,56
20,2,Tennis,1.5,0,3,77
21,11,Golf,1,1.570796327,3,29
22,14,Tennis,1,1.570796327,3,65
23,20,Golf,1.5,1.570796327,3,54
24,22,Tennis,1.5,1.570796327,3,76
